Question_Text,Subject,Topic,Difficulty
Show that the line lx + my + n = 0 touches the ellipse x^2/a^2 + y^2/b^2 = 1 if a^2*l^2 + b^2*m^2 = n^2.,Mathematics,Coordinate Geometry,Hard
For JEE/NEET preparation: Discuss the structure and bonding in diborane (B2H6) showing three-center two-electron bonds.,Chemistry,Inorganic Chemistry,Medium
"Prove that the cube roots of unity form an abelian group under multiplication, and find all subgroups.",Mathematics,Algebra,Hard
State clearly: State Henry's Law of gas solubility.,Chemistry,Physical Chemistry,Easy
Determine the value of the determinant of a matrix of order 3 where elements are given by a_ij = i^2 - j^2.,Mathematics,Algebra,Hard
For JEE/NEET preparation: Describe the structure of a double-helix DNA molecule as proposed by Watson and Crick.,Biology,Genetics,Medium
State clearly: State the relation between linear velocity and angular velocity.,Physics,Mechanics,Easy
A car travels 100 meters in 5 seconds. Calculate its average speed.,Physics,Mechanics,Easy
For JEE/NEET preparation: Find the maximum and minimum values of the function f(x) = 2x^3 - 9x^2 + 12x + 5.,Mathematics,Calculus,Medium
"Explain the mechanism of Robinson annulation including the Michael addition and subsequent Aldol condensation, illustrating all resonance-stabilized intermediates.",Chemistry,Organic Chemistry,Hard
State clearly: Name the pigment responsible for the red color of blood.,Biology,Human Physiology,Easy
What is the derivative of x^2 + 5x + 2 with respect to x?,Mathematics,Calculus,Easy
"Write the equation of a circle with center (0,0) and radius 5.",Mathematics,Coordinate Geometry,Easy
For JEE/NEET preparation: What is codominance? Explain with the example of ABO blood grouping in humans.,Biology,Genetics,Medium
"Critically evaluate and solve: In an LCR series circuit connected to an AC source V = V_0 sin(wt), find the resonance frequency, power factor, and quality factor Q when R = 10 ohms, L = 2 H, and C = 5 uF.",Physics,Electrodynamics,Hard
For JEE/NEET preparation: Describe the double circulation of blood in the human heart with a schematic diagram.,Biology,Human Physiology,Medium
State clearly: What is a food chain? Give a simple example.,Biology,Ecology,Easy
For JEE/NEET preparation: A block of mass 5 kg is sliding down an inclined plane of angle 30 degrees. Find the acceleration of the block if the coefficient of friction is 0.2.,Physics,Mechanics,Medium
"For JEE/NEET preparation: Calculate the equivalent capacitance of three capacitors of 2 uF, 3 uF, and 6 uF connected in series.",Physics,Electrodynamics,Medium
State clearly: Find the integral of sin(x) dx.,Mathematics,Calculus,Easy
State clearly: Evaluate the limit: lim_{x -> 0} sin(x) / x.,Mathematics,Calculus,Easy
Derive the relationship between solubility product (Ksp) and solubility (S) for Ag2CrO4.,Chemistry,Physical Chemistry,Medium
What is an ideal solution? Give an example.,Chemistry,Physical Chemistry,Easy
"Advanced problem: Derive the expression for the magnetic field at any point on the axis of a Helmholtz coil carrying current I, and show that the field is uniform near the center. Show detailed steps.",Physics,Electrodynamics,Hard
"Explain the conduction of nerve impulses along an axon through polarization, depolarization, and repolarization.",Biology,Human Physiology,Medium
"Advanced problem: Solve the differential equation: x^2 * dy/dx = y^2 + 2xy, given that y(1) = 1. Show detailed steps.",Mathematics,Calculus,Hard
Predict the major product when propene reacts with HBr in the presence of peroxides.,Chemistry,Organic Chemistry,Medium
Advanced problem: Derive Maxwell's relations from thermodynamic potentials and find the expression for internal energy change dU in terms of dT and dV for a Van der Waals gas. Show detailed steps.,Physics,Thermodynamics,Hard
Solve the following question: Calculate the change in entropy when 1 mole of ice melts at 0 degrees Celsius. (Heat of fusion of ice is 6.0 kJ/mol).,Chemistry,Physical Chemistry,Medium
"Solve the differential equation: x^2 * dy/dx = y^2 + 2xy, given that y(1) = 1.",Mathematics,Calculus,Hard
Differentiate between in-situ and ex-situ conservation of biodiversity with examples.,Biology,Ecology,Medium
"For JEE/NEET preparation: Find the equation of the line passing through (2, 3) and perpendicular to the line x - 2y + 5 = 0.",Mathematics,Coordinate Geometry,Medium
"Detail the hormonal feedback regulation of the thyroid gland, explaining the role of TRH, TSH, T3, and T4, and discuss the pathophysiology of Graves' disease and Myxedema.",Biology,Human Physiology,Hard
Solve the following question: An electric dipole of dipole moment p is placed in a uniform electric field E. Find the torque acting on it.,Physics,Electrodynamics,Medium
Explain the chromosomal theory of inheritance.,Biology,Genetics,Medium
Find the term independent of x in the expansion of (2x + 1/(3x^2))^9.,Mathematics,Algebra,Medium
Solve the following question: Describe the structure of a double-helix DNA molecule as proposed by Watson and Crick.,Biology,Genetics,Medium
For JEE/NEET preparation: Convert benzene to nitrobenzene and then to aniline. Write the reagents required.,Chemistry,Organic Chemistry,Medium
"Discuss the role of tRNA, mRNA, and rRNA in translation.",Biology,Genetics,Medium
For JEE/NEET preparation: Find the moment of inertia of a uniform circular disc of mass M and radius R about an axis tangent to its plane.,Physics,Mechanics,Medium
What is the value of log_2(32)?,Mathematics,Algebra,Easy
State Ohm's Law and define resistance.,Physics,Electrodynamics,Easy
Can you explain: What is the relation between Cp and Cv for an ideal gas?,Physics,Thermodynamics,Easy
"Advanced problem: Explain the global warming greenhouse effect, detailing the contribution of different greenhouse gases (CO2, CH4, N2O, CFCs) and the international protocols (Kyoto, Paris Agreement) to mitigate them. Show detailed steps.",Biology,Ecology,Hard
Solve the following question: Find the maximum and minimum values of the function f(x) = 2x^3 - 9x^2 + 12x + 5.,Mathematics,Calculus,Medium
Draw the magnetic field lines around a straight current-carrying wire.,Physics,Electrodynamics,Easy
"Critically evaluate and solve: Derive the expression for the magnetic field at any point on the axis of a Helmholtz coil carrying current I, and show that the field is uniform near the center.",Physics,Electrodynamics,Hard
State clearly: What is the electric potential due to a point charge q at distance r?,Physics,Electrodynamics,Easy
"Advanced problem: Explain the band theory of metals, semiconductors, and insulators, detailing the role of doping (n-type and p-type) with appropriate examples from Group 13 and 15 elements. Show detailed steps.",Chemistry,Inorganic Chemistry,Hard
"For JEE/NEET preparation: Calculate the self-inductance of a solenoid of length 1 m, cross-sectional area 10 cm^2, and 1000 turns.",Physics,Electrodynamics,Medium
Convert benzene to nitrobenzene and then to aniline. Write the reagents required.,Chemistry,Organic Chemistry,Medium
Name the reagent used for testing unsaturation in alkenes.,Chemistry,Organic Chemistry,Easy
Derive Maxwell's relations from thermodynamic potentials and find the expression for internal energy change dU in terms of dT and dV for a Van der Waals gas.,Physics,Thermodynamics,Hard
State clearly: Name the largest gland in the human body.,Biology,Human Physiology,Easy
Identify the functional group present in carboxylic acids.,Chemistry,Organic Chemistry,Easy
"Critically evaluate and solve: Discuss the diagonal relationship between Lithium and Magnesium, explaining the anomalies in their carbonates, nitrides, and fluorides.",Chemistry,Inorganic Chemistry,Hard
State clearly: Identify the functional group present in carboxylic acids.,Chemistry,Organic Chemistry,Easy
State clearly: What is the SI unit of force?,Physics,Mechanics,Easy
What is the dimensional formula for coefficient of viscosity?,Physics,Mechanics,Easy
For JEE/NEET preparation: Predict the major product when propene reacts with HBr in the presence of peroxides.,Chemistry,Organic Chemistry,Medium
Critically evaluate and solve: Evaluate the definite integral: integral_{0}^{pi} x * sin(x) / (1 + cos^2(x)) dx.,Mathematics,Calculus,Hard
"Solve the following question: Calculate the equivalent capacitance of three capacitors of 2 uF, 3 uF, and 6 uF connected in series.",Physics,Electrodynamics,Medium
State clearly: Who is known as the Father of Genetics?,Biology,Genetics,Easy
"Can you explain: Write the equation of a circle with center (0,0) and radius 5.",Mathematics,Coordinate Geometry,Easy
Discuss the structure and bonding in diborane (B2H6) showing three-center two-electron bonds.,Chemistry,Inorganic Chemistry,Medium
Can you explain: Define biodiversity.,Biology,Ecology,Easy
For JEE/NEET preparation: Find the angle between the lines y - sqrt(3)x - 5 = 0 and sqrt(3)y - x + 6 = 0.,Mathematics,Coordinate Geometry,Medium
"Discuss the population growth models, deriving the equations for exponential growth and logistic growth (Verhulst-Pearl logistic growth). Explain the concept of carrying capacity (K).",Biology,Ecology,Hard
What is the capacitance of a parallel plate capacitor in vacuum?,Physics,Electrodynamics,Easy
State Mendeleev's periodic law.,Chemistry,Inorganic Chemistry,Easy
"Critically evaluate and solve: An insulated container is divided into two compartments of volume V1 and V2 containing ideal gases at pressures P1, P2 and temperatures T1, T2. If the partition is removed, find the final temperature and pressure.",Physics,Thermodynamics,Hard
What is the hybridization of carbon in methane?,Chemistry,Organic Chemistry,Easy
What is the electronic configuration of copper (Z = 29)?,Chemistry,Inorganic Chemistry,Easy
"Advanced problem: Detail the molecular mechanism of the lac operon model in Escherichia coli. Explain the role of the regulator, promoter, operator, and structural genes under lactose-absent and lactose-present conditions. Show detailed steps.",Biology,Genetics,Hard
Advanced problem: Discuss the stereochemical outcome and mechanism of the hydroboration-oxidation of 1-methylcyclohexene. Why is it stereospecifically syn-addition? Show detailed steps.,Chemistry,Organic Chemistry,Hard
Solve the following question: Find the derivative of y = x^x with respect to x.,Mathematics,Calculus,Medium
Advanced problem: Explain the kinetics of enzyme-catalyzed reactions (Michaelis-Menten kinetics) and derive the expression for the Michaelis constant (Km) and maximum rate (Vmax). Show detailed steps.,Chemistry,Physical Chemistry,Hard
Can you explain: What is the shape of a water molecule according to VSEPR theory?,Chemistry,Inorganic Chemistry,Easy
"Critically evaluate and solve: If the roots of the equation x^3 - px^2 + qx - r = 0 are in Harmonic Progression, show that the middle root is 3r/q and find the relation between p, q, and r.",Mathematics,Algebra,Hard
Can you explain: What is the hybridization of carbon in methane?,Chemistry,Organic Chemistry,Easy
What is acid rain?,Biology,Ecology,Easy
Solve the following question: Calculate the osmotic pressure of a 5% urea solution at 273 Kelvin (R = 0.0821 L atm/mol K).,Chemistry,Physical Chemistry,Medium
"Explain the molecular orbital energy level diagram for N2 and O2, detailing the bond order, magnetic properties, and the effect of ionization to N2+ and O2+.",Chemistry,Inorganic Chemistry,Hard
State clearly: What is the main source of energy in an ecosystem?,Biology,Ecology,Easy
"Find the sum to infinity of the geometric progression: 1, 1/3, 1/9, 1/27...",Mathematics,Algebra,Medium
"State clearly: Identify which of the following is a scalar quantity: work, force, acceleration.",Physics,Mechanics,Easy
"Advanced problem: Analyze the competitive exclusion principle proposed by Gause, and explain resource partitioning as a mechanism for co-existence in ecological niches with real examples. Show detailed steps.",Biology,Ecology,Hard
State clearly: What is the dimensional formula for coefficient of viscosity?,Physics,Mechanics,Easy
Critically evaluate and solve: Derive Maxwell's relations from thermodynamic potentials and find the expression for internal energy change dU in terms of dT and dV for a Van der Waals gas.,Physics,Thermodynamics,Hard
State clearly: What is the electronic configuration of copper (Z = 29)?,Chemistry,Inorganic Chemistry,Easy
Determine the interval of convergence and the sum of the power series sum_{n=1}^{infinity} n * x^n.,Mathematics,Calculus,Hard
Advanced problem: Evaluate the definite integral: integral_{0}^{pi} x * sin(x) / (1 + cos^2(x)) dx. Show detailed steps.,Mathematics,Calculus,Hard
"Advanced problem: Prove that the cube roots of unity form an abelian group under multiplication, and find all subgroups. Show detailed steps.",Mathematics,Algebra,Hard
Can you explain: Solve the quadratic equation: x^2 - 5x + 6 = 0.,Mathematics,Algebra,Easy
State clearly: Name the reagent used for testing unsaturation in alkenes.,Chemistry,Organic Chemistry,Easy
Evaluate the definite integral: integral_{0}^{pi} x * sin(x) / (1 + cos^2(x)) dx.,Mathematics,Calculus,Hard
Can you explain: Why are noble gases inert?,Chemistry,Inorganic Chemistry,Easy
"If the roots of the equation x^3 - px^2 + qx - r = 0 are in Harmonic Progression, show that the middle root is 3r/q and find the relation between p, q, and r.",Mathematics,Algebra,Hard
For JEE/NEET preparation: Write the chemical formula of Werner's coordination complexes and calculate the primary and secondary valencies of Co in [Co(NH3)5Cl]Cl2.,Chemistry,Inorganic Chemistry,Medium
Can you explain: What is the functional unit of the human kidney?,Biology,Human Physiology,Easy
State clearly: Define ecosystem and list its biotic components.,Biology,Ecology,Easy
State clearly: What is the acceleration due to gravity on the surface of the Earth?,Physics,Mechanics,Easy
Critically evaluate and solve: An open trolley of mass 100 kg is moving with constant speed 10 m/s. Sand starts falling into it at a rate of 5 kg/s. Calculate the force needed to maintain constant speed.,Physics,Mechanics,Hard
"Calculate the equivalent capacitance of three capacitors of 2 uF, 3 uF, and 6 uF connected in series.",Physics,Electrodynamics,Medium
State clearly: What is an ideal solution? Give an example.,Chemistry,Physical Chemistry,Easy
A bullet of mass 10g is fired with speed 400 m/s into a block of 2kg hanging from a string. Find the maximum height reached by the block.,Physics,Mechanics,Medium
"Derive the Crystal Field Splitting energy (CFSE) for high-spin and low-spin d6 octahedral complexes, and calculate the magnetic moment (spin-only) for both cases.",Chemistry,Inorganic Chemistry,Hard
For JEE/NEET preparation: Differentiate between in-situ and ex-situ conservation of biodiversity with examples.,Biology,Ecology,Medium
Evaluate the limit: lim_{x -> 0} sin(x) / x.,Mathematics,Calculus,Easy
Can you explain: Find the integral of sin(x) dx.,Mathematics,Calculus,Easy
Can you explain: Define electronegativity and state its trend across a period.,Chemistry,Inorganic Chemistry,Easy
Can you explain: What is the electronic configuration of copper (Z = 29)?,Chemistry,Inorganic Chemistry,Easy
Can you explain: State Henry's Law of gas solubility.,Chemistry,Physical Chemistry,Easy
Find the equation of the common tangent to the circle x^2 + y^2 = 8 and the parabola y^2 = 16x.,Mathematics,Coordinate Geometry,Hard
Can you explain: What is a food chain? Give a simple example.,Biology,Ecology,Easy
"Solve the following question: Find the equation of the line passing through (2, 3) and perpendicular to the line x - 2y + 5 = 0.",Mathematics,Coordinate Geometry,Medium
"In an LCR series circuit connected to an AC source V = V_0 sin(wt), find the resonance frequency, power factor, and quality factor Q when R = 10 ohms, L = 2 H, and C = 5 uF.",Physics,Electrodynamics,Hard
State the binomial theorem for a positive integer n.,Mathematics,Algebra,Easy
"Discuss the cardiac cycle in detail, explaining the pressure and volume changes in the atria and ventricles during systole and diastole, and correlate these with ECG waves (P, QRS, T).",Biology,Human Physiology,Hard
"Advanced problem: Derive the Crystal Field Splitting energy (CFSE) for high-spin and low-spin d6 octahedral complexes, and calculate the magnetic moment (spin-only) for both cases. Show detailed steps.",Chemistry,Inorganic Chemistry,Hard
"Critically evaluate and solve: Discuss the cardiac cycle in detail, explaining the pressure and volume changes in the atria and ventricles during systole and diastole, and correlate these with ECG waves (P, QRS, T).",Biology,Human Physiology,Hard
Find the derivative of y = x^x with respect to x.,Mathematics,Calculus,Medium
"For JEE/NEET preparation: Find the sum to infinity of the geometric progression: 1, 1/3, 1/9, 1/27...",Mathematics,Algebra,Medium
"Advanced problem: If z = x + iy is a complex number satisfying |z - 1| = 2|z + 1|, show that the locus of z is a circle and find its center and radius. Show detailed steps.",Mathematics,Algebra,Hard
"Solve the following question: Describe the structure and functioning of a nephron in urine formation, detailing filtration, reabsorption, and secretion.",Biology,Human Physiology,Medium
State clearly: State the Zeroth law of thermodynamics.,Physics,Thermodynamics,Easy
A double pendulum consists of two masses m1 and m2 connected by light strings of length l1 and l2. Derive the Lagrangian and calculate the equations of motion.,Physics,Mechanics,Hard
What is the electric potential due to a point charge q at distance r?,Physics,Electrodynamics,Easy
Explain the hybridisation and geometry of XeF4 and SF6.,Chemistry,Inorganic Chemistry,Medium
What is the main source of energy in an ecosystem?,Biology,Ecology,Easy
Solve the following question: What is codominance? Explain with the example of ABO blood grouping in humans.,Biology,Genetics,Medium
Solve the following question: Explain the law of independent assortment with a dihybrid cross example.,Biology,Genetics,Medium
Can you explain: Name the nitrogenous bases present in DNA.,Biology,Genetics,Easy
"Discuss the counter-current mechanism in the loop of Henle and vasa recta for the concentration of urine, detailing the roles of NaCl and urea gradients.",Biology,Human Physiology,Hard
State Faraday's laws of electrolysis. Calculate the mass of copper deposited by a current of 2 A flowing for 1 hour.,Chemistry,Physical Chemistry,Medium
"Critically evaluate and solve: Explain the digestion and absorption of fats in the human gastrointestinal tract, detailing the role of bile salts, micelle formation, pancreatic lipase, and chylomicron transport in lacteals.",Biology,Human Physiology,Hard
For JEE/NEET preparation: Explain the extraction of iron from blast furnace with chemical equations.,Chemistry,Inorganic Chemistry,Medium
State clearly: State the first law of thermodynamics in mathematical form.,Physics,Thermodynamics,Easy
Can you explain: What is the dimensional formula for coefficient of viscosity?,Physics,Mechanics,Easy
Can you explain: Name the pigment responsible for the red color of blood.,Biology,Human Physiology,Easy
Solve the following question: A Carnot engine operates between temperatures 300 K and 600 K. Find its efficiency.,Physics,Thermodynamics,Medium
What is codominance? Explain with the example of ABO blood grouping in humans.,Biology,Genetics,Medium
Explain the concept of biomagnification with reference to DDT in an aquatic food chain.,Biology,Ecology,Medium
Derive the Nernst equation for a cell and calculate the EMF of the cell: Zn | Zn2+(0.01M) || Cu2+(0.1M) | Cu at 298 K if the standard reduction potentials are -0.76 V and +0.34 V.,Chemistry,Physical Chemistry,Hard
"Find the equation of the tangent and normal to the curve x^(2/3) + y^(2/3) = a^(2/3) at the point (x1, y1).",Mathematics,Calculus,Hard
"Advanced problem: Detail the hormonal feedback regulation of the thyroid gland, explaining the role of TRH, TSH, T3, and T4, and discuss the pathophysiology of Graves' disease and Myxedema. Show detailed steps.",Biology,Human Physiology,Hard
Define genotype and phenotype.,Biology,Genetics,Easy
Calculate the gravitational potential energy of a non-uniform sphere of mass M and radius R where density varies as rho(r) = rho_0 * (1 - r/R).,Physics,Mechanics,Hard
For JEE/NEET preparation: Explain the sliding filament theory of muscle contraction.,Biology,Human Physiology,Medium
Can you explain: What is the normal blood pressure of a healthy human?,Biology,Human Physiology,Easy
Calculate the work done in stretching a spring of spring constant k = 200 N/m by a distance of 10 cm.,Physics,Mechanics,Medium
Can you explain: Define molarity and write its unit.,Chemistry,Physical Chemistry,Easy
Solve the following question: Determine the area bounded by the curve y = x^2 and the line y = 4.,Mathematics,Calculus,Medium
